freq,cost,iteration
0.16,14.0,218
0.15,14.0,219
0.2,20.0,220
0.09,11.0,221
0.26,18.0,222
0.175,16.0,223
0.25,18.0,224
0.285,19.0,225
0.26,16.0,226
0.095,17.0,227
0.14,11.0,228
0.185,13.0,229
0.135,16.0,230
0.14,15.0,231
0.22,12.0,232
0.23,17.0,233
0.24,16.0,234
0.23,17.0,235
0.165,11.0,236
0.165,13.0,237
0.09,16.0,238
0.175,14.0,239
0.195,13.0,240
0.28,16.0,241
0.215,10.0,242
0.13,14.0,243
0.105,9.0,244
0.115,16.0,245
0.17,8.0,246
0.085,8.0,247
0.135,11.0,248
0.045,11.0,249
0.17,13.0,250
0.11,18.0,251
0.24,18.0,252
0.24,17.0,253
0.225,17.0,254
0.27,13.0,255
0.27,12.0,256
0.145,9.0,257
0.13,18.0,258
0.34,18.0,259
0.2,12.0,260
0.23,16.0,261
0.18,11.0,262
0.115,13.0,263
0.18,9.0,264
0.095,17.0,265
0.085,9.0,266
0.145,10.0,267
0.1,15.0,268
0.23,12.0,269
0.185,14.0,270
0.16,15.0,271
0.215,14.0,272
0.17,15.0,273
0.23,13.0,274
0.135,14.0,275
0.165,10.0,276
0.145,13.0,277
0.115,13.0,278
0.135,10.0,279
0.22,10.0,280
0.195,8.0,281
0.18,18.0,282
0.18,7.0,283
0.15,9.0,284
0.2,14.0,285
0.115,12.0,286
0.035,9.0,287
0.05,14.0,288
0.08,12.0,289
0.08,14.0,290
0.13,12.0,291
0.13,15.0,292
0.18,13.0,293
0.18,11.0,294
0.12,16.0,295
0.16,20.0,296
0.11,19.0,297
0.21,15.0,298
0.12,15.0,299
0.205,13.0,300
0.2,18.0,301
0.235,11.0,302
0.1,16.0,303
0.06,12.0,304
0.075,12.0,305
0.13,13.0,306
0.255,18.0,307
0.075,12.0,308
0.1,16.0,309
0.07,11.0,310
0.05,15.0,311
0.04,15.0,312
0.115,12.0,313
0.055,12.0,314
0.115,12.0,315
0.135,9.0,316
0.075,12.0,317
0.06,10.0,318
0.02,8.0,319
0.01,11.0,320
0.03,13.0,321
0.04,14.0,322
0.145,9.0,323
0.105,10.0,324
0.055,12.0,325
0.085,11.0,326
0.065,14.0,327
0.06,13.0,328
0.11,14.0,329
0.12,9.0,330
0.055,10.0,331
0.08,10.0,332
0.09,15.0,333
0.05,14.0,334
0.02,14.0,335
0.08,12.0,336
0.08,15.0,337
0.01,14.0,338
0.03,10.0,339
0.055,14.0,340
0.075,15.0,341
0.15,15.0,342
0.17,13.0,343
0.13,11.0,344
0.16,11.0,345
0.195,11.0,346
0.155,9.0,347
0.205,14.0,348
0.17,12.0,349
0.055,12.0,350
0.175,10.0,351
0.285,8.0,352
0.14,9.0,353
0.13,12.0,354
0.05,7.0,355
0.01,8.0,356
0.05,10.0,357
0.08,8.0,358
0.11,11.0,359
0.12,11.0,360
0.1,10.0,361
0.06,10.0,362
0.01,10.0,363
0.09,9.0,364
0.06,9.0,365
0.01,10.0,366
0.0,10.0,367
0.0,10.0,368
0.0,10.0,369
0.0,10.0,370
0.02,11.0,371
0.02,4.0,372
0.01,4.0,373
0.08,14.0,374
0.07,10.0,375
0.06,7.0,376
0.15,13.0,377
0.09,8.0,378
0.08,6.0,379
0.035,9.0,380
0.115,5.0,381
0.055,4.0,382
0.045,9.0,383
0.12,9.0,384
0.03,8.0,385
0.01,7.0,386
0.03,5.0,387
0.01,8.0,388
0.02,8.0,389
0.015,8.0,390
0.065,9.0,391
0.04,12.0,392
0.01,10.0,393
0.03,7.0,394
0.0,7.0,395
0.0,7.0,396
0.01,6.0,397
0.0,6.0,398
0.01,12.0,399
0.07,9.0,400
0.02,8.0,401
0.02,12.0,402
0.065,9.0,403
0.125,8.0,404
0.02,11.0,405
0.065,11.0,406
0.045,9.0,407
0.03,9.0,408
0.035,9.0,409
0.005,9.0,410
0.0,9.0,411
0.03,9.0,412
0.035,10.0,413
0.055,10.0,414
0.02,10.0,415
0.02,11.0,416
0.04,9.0,417
0.09,10.0,418
0.05,7.0,419
0.0,7.0,420
0.0,7.0,421
0.075,11.0,422
0.095,10.0,423
0.03,9.0,424
0.05,9.0,425
0.05,10.0,426
0.04,10.0,427
0.045,10.0,428
0.015,9.0,429
0.135,8.0,430
0.155,9.0,431
0.15,9.0,432
0.09,10.0,433
0.07,8.0,434
0.03,8.0,435
0.04,7.0,436
0.0,7.0,437
0.03,8.0,438
0.015,9.0,439
0.045,9.0,440
0.06,9.0,441
0.01,10.0,442
0.11,8.0,443
0.07,10.0,444
0.05,10.0,445
0.02,6.0,446
0.0,6.0,447
0.03,9.0,448
0.03,10.0,449
0.04,8.0,450
0.0,8.0,451
0.0,8.0,452
0.0,8.0,453
0.01,7.0,454
0.02,8.0,455
0.125,11.0,456
0.055,9.0,457
0.075,7.0,458
0.175,7.0,459
0.06,8.0,460
0.055,7.0,461
0.015,6.0,462
0.0,6.0,463
0.0,6.0,464
0.0,6.0,465
0.01,6.0,466
0.03,6.0,467
0.04,9.0,468
0.03,8.0,469
0.01,5.0,470
0.0,5.0,471
0.04,9.0,472
0.04,6.0,473
0.0,6.0,474
0.025,7.0,475
0.025,6.0,476
0.02,6.0,477
0.0,6.0,478
0.01,7.0,479
0.03,7.0,480
0.06,9.0,481
0.045,7.0,482
0.045,9.0,483
0.04,9.0,484
0.02,9.0,485
0.02,8.0,486
0.0,8.0,487
0.02,6.0,488
0.02,6.0,489
0.03,6.0,490
0.015,7.0,491
0.01,7.0,492
0.035,6.0,493
0.02,5.0,494
0.01,5.0,495
0.03,4.0,496
0.0,4.0,497
0.02,5.0,498
0.01,4.0,499
0.02,4.0,500
0.0,4.0,501
0.0,4.0,502
0.0,4.0,503
0.0,4.0,504
0.0,4.0,505
0.0,4.0,506
0.06,4.0,507
0.04,8.0,508
0.02,7.0,509
0.0,7.0,510
0.01,7.0,511
0.0,7.0,512
0.0,7.0,513
0.03,5.0,514
0.05,5.0,515
0.025,10.0,516
0.035,6.0,517
0.02,4.0,518
0.0,4.0,519
0.035,4.0,520
0.015,4.0,521
0.02,10.0,522
0.03,5.0,523
0.03,5.0,524
0.02,4.0,525
0.0,4.0,526
0.0,4.0,527
0.01,9.0,528
0.02,10.0,529
0.03,8.0,530
0.01,10.0,531
0.01,8.0,532
0.0,8.0,533
0.04,9.0,534
0.0,9.0,535
0.0,9.0,536
0.01,9.0,537
0.02,9.0,538
0.02,8.0,539
0.035,8.0,540
0.035,9.0,541
0.04,8.0,542
0.035,8.0,543
0.015,9.0,544
0.01,9.0,545
0.02,9.0,546
0.055,10.0,547
0.025,7.0,548
0.0,7.0,549
0.01,7.0,550
0.0,7.0,551
0.0,7.0,552
0.0,7.0,553
0.02,4.0,554
0.0,4.0,555
0.0,4.0,556
0.0,4.0,557
0.0,4.0,558
0.0,4.0,559
0.0,4.0,560
0.0,4.0,561
0.0,4.0,562
0.0,4.0,563
0.0,4.0,564
0.0,4.0,565
0.0,4.0,566
0.0,4.0,567
0.0,4.0,568
0.0,4.0,569
0.0,4.0,570
0.02,5.0,571
0.04,5.0,572
0.04,7.0,573
0.035,7.0,574
0.015,7.0,575
0.03,7.0,576
0.01,7.0,577
0.025,6.0,578
0.0,6.0,579
0.0,6.0,580
0.0,6.0,581
0.0,6.0,582
0.015,7.0,583
0.0,7.0,584
0.0,7.0,585
0.01,8.0,586
0.0,8.0,587
0.01,8.0,588
0.0,8.0,589
0.03,7.0,590
0.02,6.0,591
0.0,6.0,592
0.0,6.0,593
0.0,6.0,594
0.0,6.0,595
0.0,6.0,596
0.0,6.0,597
0.0,6.0,598
0.0,6.0,599
0.0,6.0,600
0.0,6.0,601
0.01,6.0,602
0.0,6.0,603
0.0,6.0,604
0.0,6.0,605
0.0,6.0,606
0.0,6.0,607
0.0,6.0,608
0.02,5.0,609
0.02,4.0,610
0.01,3.0,611
0.0,3.0,612
0.065,5.0,613
0.005,5.0,614
0.005,7.0,615
0.015,7.0,616
0.005,7.0,617
0.01,7.0,618
0.015,5.0,619
0.01,5.0,620
0.03,5.0,621
0.02,7.0,622
0.03,5.0,623
0.06,4.0,624
0.01,4.0,625
0.05,7.0,626
0.01,6.0,627
0.03,5.0,628
0.015,6.0,629
0.025,8.0,630
0.04,8.0,631
0.05,5.0,632
0.02,5.0,633
0.03,5.0,634
0.02,6.0,635
0.05,6.0,636
0.07,5.0,637
0.03,5.0,638
0.04,5.0,639
0.04,5.0,640
0.01,5.0,641
0.035,4.0,642
0.025,5.0,643
0.0,5.0,644
0.005,4.0,645
0.015,5.0,646
0.0,5.0,647
0.01,5.0,648
0.01,4.0,649
0.025,5.0,650
0.025,3.0,651
0.0,3.0,652
0.0,3.0,653
0.0,3.0,654
0.0,3.0,655
0.0,3.0,656
0.0,3.0,657
0.0,3.0,658
0.0,3.0,659
0.04,7.0,660
0.045,5.0,661
0.025,4.0,662
0.06,4.0,663
0.06,4.0,664
0.04,4.0,665
0.035,4.0,666
0.005,4.0,667
0.02,4.0,668
0.01,4.0,669
0.02,4.0,670
0.02,4.0,671
0.015,4.0,672
0.005,4.0,673
0.03,4.0,674
0.015,4.0,675
0.015,4.0,676
0.0,4.0,677
0.025,6.0,678
0.035,6.0,679
0.01,6.0,680
0.035,6.0,681
0.015,5.0,682
0.04,4.0,683
0.03,4.0,684
0.03,5.0,685
0.02,3.0,686
0.0,3.0,687
0.02,3.0,688
0.03,4.0,689
0.04,5.0,690
0.055,4.0,691
0.025,4.0,692
0.01,4.0,693
0.01,4.0,694
0.06,4.0,695
0.03,5.0,696
0.04,4.0,697
0.0,4.0,698
0.0,4.0,699
0.0,4.0,700
0.0,4.0,701
0.0,4.0,702
0.02,4.0,703
0.02,4.0,704
0.01,3.0,705
0.01,3.0,706
0.0,3.0,707
0.0,3.0,708
0.01,4.0,709
0.0,4.0,710
0.01,3.0,711
0.0,3.0,712
0.0,3.0,713
0.04,3.0,714
0.0,3.0,715
0.01,3.0,716
0.01,3.0,717
0.02,4.0,718
0.0,4.0,719
0.0,4.0,720
0.0,4.0,721
0.005,3.0,722
0.005,3.0,723
0.01,3.0,724
0.0,3.0,725
0.0,3.0,726
0.0,3.0,727
0.01,3.0,728
0.01,3.0,729
0.02,3.0,730
0.0,3.0,731
0.02,3.0,732
0.0,3.0,733
0.02,3.0,734
0.0,3.0,735
0.01,3.0,736
0.01,3.0,737
0.0,3.0,738
0.0,3.0,739
0.01,3.0,740
0.01,3.0,741
0.01,3.0,742
0.02,3.0,743
0.0,3.0,744
0.0,3.0,745
0.01,3.0,746
0.0,3.0,747
0.0,3.0,748
0.0,3.0,749
0.02,3.0,750
0.0,3.0,751
0.0,3.0,752
0.02,3.0,753
0.005,5.0,754
0.03,4.0,755
0.02,3.0,756
0.01,3.0,757
0.0,3.0,758
0.01,3.0,759
0.015,5.0,760
0.03,3.0,761
0.01,5.0,762
0.005,5.0,763
0.06,5.0,764
0.03,3.0,765
0.015,3.0,766
0.01,3.0,767
0.01,3.0,768
0.01,3.0,769
0.02,3.0,770
0.02,3.0,771
0.0,3.0,772
0.02,5.0,773
0.01,5.0,774
0.02,5.0,775
0.075,5.0,776
0.015,3.0,777
0.01,4.0,778
0.01,3.0,779
0.0,3.0,780
0.01,3.0,781
0.01,3.0,782
0.03,4.0,783
0.0,4.0,784
0.0,4.0,785
0.0,4.0,786
0.02,4.0,787
0.0,4.0,788
0.02,4.0,789
0.015,4.0,790
0.005,4.0,791
0.01,4.0,792
0.025,4.0,793
0.015,4.0,794
0.02,4.0,795
0.0,4.0,796
0.0,4.0,797
0.01,4.0,798
0.0,4.0,799
0.0,4.0,800
0.0,4.0,801
0.01,4.0,802
0.0,4.0,803
0.045,4.0,804
0.005,4.0,805
0.05,5.0,806
0.02,5.0,807
0.0,5.0,808
0.02,5.0,809
0.025,5.0,810
0.045,5.0,811
0.015,5.0,812
0.055,6.0,813
0.0,6.0,814
0.0,6.0,815
0.0,6.0,816
0.03,4.0,817
0.02,6.0,818
0.01,6.0,819
0.0,6.0,820
0.03,6.0,821
0.01,6.0,822
0.01,6.0,823
0.03,4.0,824
0.0,4.0,825
0.0,4.0,826
0.0,4.0,827
0.0,4.0,828
0.0,4.0,829
0.0,4.0,830
0.0,4.0,831
0.0,4.0,832
0.0,4.0,833
0.0,4.0,834
0.0,4.0,835
0.0,4.0,836
0.0,4.0,837
0.0,4.0,838
0.0,4.0,839
0.0,4.0,840
0.0,4.0,841
0.0,4.0,842
0.0,4.0,843
0.0,4.0,844
0.04,5.0,845
0.0,5.0,846
0.01,5.0,847
0.03,4.0,848
0.0,4.0,849
0.015,4.0,850
0.015,4.0,851
0.01,4.0,852
0.0,4.0,853
0.01,4.0,854
0.01,3.0,855
0.0,3.0,856
0.0,3.0,857
0.0,3.0,858
0.0,3.0,859
0.0,3.0,860
0.0,3.0,861
0.0,3.0,862
0.0,3.0,863
0.0,3.0,864
0.02,3.0,865
0.0,3.0,866
0.0,3.0,867
0.0,3.0,868
0.0,3.0,869
0.0,3.0,870
0.0,3.0,871
0.0,3.0,872
0.0,3.0,873
0.0,3.0,874
0.0,3.0,875
0.0,3.0,876
0.0,3.0,877
0.0,3.0,878
0.0,3.0,879
0.0,3.0,880
0.0,3.0,881
0.0,3.0,882
0.0,3.0,883
0.0,3.0,884
0.0,3.0,885
0.0,3.0,886
0.0,3.0,887
0.0,3.0,888
0.0,3.0,889
0.0,3.0,890
0.0,3.0,891
0.0,3.0,892
0.0,3.0,893
0.0,3.0,894
0.0,3.0,895
0.0,3.0,896
0.0,3.0,897
0.0,3.0,898
0.0,3.0,899
0.0,3.0,900
0.0,3.0,901
0.0,3.0,902
0.0,3.0,903
0.0,3.0,904
0.0,3.0,905
0.0,3.0,906
0.0,3.0,907
0.0,3.0,908
0.0,3.0,909
0.005,4.0,910
0.015,4.0,911
0.0,4.0,912
0.01,4.0,913
0.02,4.0,914
0.0,4.0,915
0.0,4.0,916
0.02,4.0,917
0.0,4.0,918
0.0,4.0,919
0.0,4.0,920
0.01,4.0,921
0.0,4.0,922
0.005,4.0,923
0.015,4.0,924
0.0,4.0,925
0.01,4.0,926
0.02,3.0,927
0.0,3.0,928
0.0,3.0,929
0.0,3.0,930
0.02,4.0,931
0.01,4.0,932
0.01,4.0,933
0.0,4.0,934
0.03,4.0,935
0.04,4.0,936
0.035,5.0,937
0.055,5.0,938
0.0,5.0,939
0.0,5.0,940
0.0,5.0,941
0.0,5.0,942
0.0,5.0,943
0.0,5.0,944
0.0,5.0,945
0.0,5.0,946
0.0,5.0,947
0.0,5.0,948
0.0,5.0,949
0.0,5.0,950
0.0,5.0,951
0.0,5.0,952
0.0,5.0,953
0.0,5.0,954
0.0,5.0,955
0.0,5.0,956
0.0,5.0,957
0.0,5.0,958
0.0,5.0,959
0.025,4.0,960
0.005,4.0,961
0.01,4.0,962
0.01,4.0,963
0.01,4.0,964
0.02,4.0,965
0.01,3.0,966
0.0,3.0,967
0.0,3.0,968
0.0,3.0,969
0.0,3.0,970
0.0,3.0,971
0.0,3.0,972
0.0,3.0,973
0.0,3.0,974
0.0,3.0,975
0.0,3.0,976
0.0,3.0,977
0.0,3.0,978
0.0,3.0,979
0.0,3.0,980
0.0,3.0,981
0.0,3.0,982
0.0,3.0,983
0.0,3.0,984
0.0,3.0,985
0.0,3.0,986
0.0,3.0,987
0.0,3.0,988
0.0,3.0,989
0.0,3.0,990
0.0,3.0,991
0.0,3.0,992
0.0,3.0,993
0.0,3.0,994
0.0,3.0,995
0.03,4.0,996
0.03,5.0,997
0.02,5.0,998
0.0,5.0,999
0.0,5.0,1000
